N,N_over_sample_expression,T,checker_absolute_difference,condition_number,d,error_over_sigma2_dk_over_NT,eta1,eta2,exact_rip_delta,factor,factor_value,final_parameter_error,final_relative_squared_error,first_hit_iteration,independent_final_error,initial_parameter_error,initial_relative_squared_error,k,permuted_task_control,route,sample_expression_without_hidden_constant,seed,sigma,sigma2_dk_over_NT,sigma_1_M_star,sigma_k_M_star,truth_factor_balance_residual
800,9.46969696969696,16,0.0,1.0000000000000004,512,0.9993467460695405,0.05,0.2,0.0,k,4,0.006395819174845061,0.02558327669938024,140,0.006395819174845061,0.2500010012211674,1.0000040048846697,4,False,rate,84.48000000000009,8302,0.2,0.006400000000000001,1.0,0.9999999999999996,1.5680990957105855e-15
800,9.469696969696967,16,8.673617379884035e-19,1.0000000000000004,512,1.059418923224153,0.04999999999999998,0.19999999999999993,0.0,k,4,0.0067802811086345805,0.027121124434538325,155,0.00678028110863458,0.2499994052204349,0.9999976208817398,4,False,rate,84.48000000000002,8303,0.2,0.006400000000000001,1.0000000000000004,1.0,4.583957856030948e-16
800,9.469696969696962,16,8.673617379884035e-19,1.0,512,1.0232031519541747,0.05000000000000002,0.20000000000000007,0.0,k,4,0.0065485001725067195,0.026194000690026868,147,0.00654850017250672,0.2500005701218679,1.0000022804874706,4,False,rate,84.48000000000008,8304,0.2,0.006400000000000001,0.9999999999999997,0.9999999999999997,8.504286314716132e-16
800,9.469696969696964,16,1.734723475976807e-18,1.0000000000000004,512,1.0166740934602834,0.04999999999999999,0.19999999999999996,0.0,k,4,0.006506714198145815,0.02602685679258327,147,0.006506714198145813,0.24999838484670678,0.999993539386827,4,False,rate,84.48000000000006,8305,0.2,0.006400000000000001,1.0000000000000002,0.9999999999999998,8.886690925236002e-16
800,9.469696969696964,16,0.0,1.0000000000000007,512,0.9913987145574111,0.04999999999999998,0.19999999999999993,0.0,k,4,0.006344951773167433,0.025379807092669737,178,0.006344951773167433,0.25000004867008535,1.0000001946803414,4,False,rate,84.48000000000006,8306,0.2,0.006400000000000001,1.0000000000000004,0.9999999999999998,8.490949317995727e-16
800,6.313131313131308,16,3.469446951953614e-18,1.0000000000000007,512,1.0159592929754642,0.04999999999999999,0.19999999999999996,0.0,k,6,0.00975320921256446,0.0260085579001719,138,0.009753209212564456,0.3750024989728582,1.000006663927622,6,False,rate,126.72000000000011,8301,0.2,0.009600000000000003,1.0000000000000002,0.9999999999999997,1.3043691720532766e-15
800,6.313131313131306,16,3.469446951953614e-18,1.0000000000000007,512,0.9855024900166455,0.04999999999999999,0.19999999999999996,0.0,k,6,0.0094608239041598,0.025228863744426146,134,0.009460823904159796,0.3749982673353044,0.9999953795608122,6,False,rate,126.72000000000014,8302,0.2,0.009600000000000003,1.0000000000000002,0.9999999999999996,1.396868990121351e-15
800,6.313131313131311,16,3.469446951953614e-18,1.0000000000000002,512,1.0307726021659376,0.04999999999999999,0.19999999999999996,0.0,k,6,0.009895416980793003,0.026387778615448016,141,0.009895416980793006,0.37499989333690603,0.9999997155650827,6,False,rate,126.72000000000003,8303,0.2,0.009600000000000003,1.0000000000000002,1.0,1.7308568100737106e-15
800,6.3131313131313105,16,3.469446951953614e-18,1.0000000000000004,512,1.0004320248273562,0.04999999999999999,0.19999999999999996,0.0,k,6,0.009604147438342621,0.025611059835580315,136,0.009604147438342618,0.37499913779270355,0.9999977007805424,6,False,rate,126.72000000000006,8304,0.2,0.009600000000000003,1.0000000000000002,0.9999999999999999,1.2657619419289976e-15
800,6.313131313131308,16,0.0,1.0000000000000009,512,1.0766250510509412,0.04999999999999998,0.19999999999999993,0.0,k,6,0.01033560049008904,0.0275616013069041,149,0.01033560049008904,0.37499950353157835,0.9999986760842087,6,False,rate,126.72000000000011,8305,0.2,0.009600000000000003,1.0000000000000004,0.9999999999999997,6.557494717400671e-16
800,6.313131313131303,16,1.734723475976807e-18,1.0000000000000009,512,0.9938374127022594,0.04999999999999999,0.19999999999999996,0.0,k,6,0.009540839161941693,0.025442237765177848,143,0.009540839161941695,0.37499972131010184,0.9999992568269384,6,False,rate,126.7200000000002,8306,0.2,0.009600000000000003,1.0000000000000002,0.9999999999999993,1.2353310820224876e-15
800,4.734848484848477,16,0.0,1.0000000000000009,512,1.0346284696143426,0.04999999999999999,0.19999999999999996,0.0,k,8,0.013243244411063589,0.026486488822127185,140,0.013243244411063589,0.4999984339423955,0.9999968678847914,8,False,rate,168.96000000000026,8301,0.2,0.012800000000000002,1.0000000000000002,0.9999999999999993,1.4094213478457243e-15
800,4.734848484848481,16,1.734723475976807e-18,1.0000000000000007,512,1.0273620423203114,0.04999999999999999,0.19999999999999996,0.0,k,8,0.013150234141699987,0.02630046828339998,132,0.013150234141699985,0.4999996160990246,0.9999992321980492,8,False,rate,168.96000000000015,8302,0.2,0.012800000000000002,1.0000000000000002,0.9999999999999997,1.31234971424153e-15
